Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
tavon-austin,2018,DallasCowboys,7,8,140,17.5,64,2,5,62.5,2,2
antony-auclair,2018,TampaBayBuccaneers,16,7,48,6.9,12,0,1,14.29,0,0
marcell-ateman,2018,OaklandRaiders,7,15,154,10.3,32,1,7,46.67,2,0
dan-arnold,2018,NewOrleansSaints,10,12,150,12.5,25,1,9,75,4,0
alex-armah,2018,CarolinaPanthers,16,1,5,5,5,0,0,0,0,0
mark-andrews,2018,BaltimoreRavens,16,34,552,16.2,74,3,28,82.35,8,2
stephen-anderson,2018,NewEnglandPatriots,--,--,--,--,--,--,--,--,--,--
robby-anderson,2018,NewYorkJets,14,50,752,15,76,6,30,60,10,2
danny-amendola,2018,MiamiDolphins,15,59,575,9.8,39,1,27,45.76,4,0
tyson-alualu,2018,PittsburghSteelers,15,--,--,--,--,--,--,--,--,--
geronimo-allison,2018,GreenBayPackers,5,20,303,15.2,64,2,11,55,4,1
keenan-allen,2018,LosAngelesChargers,16,97,1196,12.3,54,6,62,63.92,13,1
josh-allen-4,2018,BuffaloBills,12,0,0,0,--,0,0,0,0,0
javorius-allen,2018,BaltimoreRavens,14,35,196,5.6,17,2,11,31.43,0,0
mo-alie-cox,2018,IndianapolisColts,9,7,133,19,34,2,6,85.71,4,0
jordan-akins,2018,HoustonTexans,16,17,225,13.2,28,0,11,64.71,3,0
jamal-agnew,2018,DetroitLions,6,--,--,--,--,--,--,--,--,--
nelson-agholor,2018,PhiladelphiaEagles,16,64,736,11.5,83,4,28,43.75,10,5
josh-adams,2018,PhiladelphiaEagles,14,7,58,8.3,13,0,3,42.86,0,0
jerell-adams,2018,HoustonTexans,--,--,--,--,--,--,--,--,--,--
davante-adams,2018,GreenBayPackers,15,111,1386,12.5,57,13,64,57.66,18,5
ameer-abdullah,2018,MinnesotaVikings,10,3,28,9.3,12,0,1,33.33,0,0
damiere-byrd,2018,CarolinaPanthers,8,1,8,8,8,0,1,100,0,0
kevin-byard,2018,TennesseeTitans,16,--,--,--,--,--,--,--,--,--
jake-butt,2018,DenverBroncos,3,8,85,10.6,22,0,4,50,2,0
trey-burton,2018,ChicagoBears,16,54,569,10.5,47,6,29,53.7,7,1
michael-burton,2018,ChicagoBears,8,1,6,6,6,0,1,100,0,0
deontay-burnett,2018,NewYorkJets,5,10,143,14.3,29,0,7,70,3,0
rex-burkhead,2018,NewEnglandPatriots,8,14,131,9.4,25,1,4,28.57,1,0
dez-bryant,2018,NewOrleansSaints,--,--,--,--,--,--,--,--,--,--
pharaoh-brown,2018,ClevelandBrowns,0,--,--,--,--,--,--,--,--,--
noah-brown,2018,DallasCowboys,8,5,54,10.8,22,0,2,40,1,0
malcolm-brown,2018,LosAngelesRams,12,5,52,10.4,18,1,2,40,0,0
john-brown,2018,BaltimoreRavens,16,42,715,17,71,5,28,66.67,11,4
jaron-brown,2018,SeattleSeahawks,16,14,166,11.9,45,5,9,64.29,1,1
daniel-brown,2018,ChicagoBears,14,--,--,--,--,--,--,--,--,--
antonio-brown,2018,PittsburghSteelers,15,104,1297,12.5,78,15,63,60.58,17,6
jacoby-brissett,2018,IndianapolisColts,4,--,--,--,--,--,--,--,--,--
matt-breida,2018,SanFrancisco49ers,14,27,261,9.7,26,2,12,44.44,5,0
drew-brees,2018,NewOrleansSaints,15,1,1,1,1,0,0,0,0,0
ben-braunecker,2018,ChicagoBears,15,3,42,14,20,0,2,66.67,1,0
cameron-brate,2018,TampaBayBuccaneers,16,30,289,9.6,21,6,18,60,2,0
tom-brady,2018,NewEnglandPatriots,16,1,6,6,6,0,0,0,0,0
nick-boyle,2018,BaltimoreRavens,16,23,213,9.3,25,0,10,43.48,1,0
tyler-boyd,2018,CincinnatiBengals,14,76,1028,13.5,49,7,54,71.05,21,1
kendrick-bourne,2018,SanFrancisco49ers,16,42,487,11.6,33,4,30,71.43,6,0
blake-bortles,2018,JacksonvilleJaguars,13,--,--,--,--,--,--,--,--,--
mike-boone,2018,MinnesotaVikings,8,2,1,0.5,1,0,0,0,0,0
devontae-booker,2018,DenverBroncos,16,38,275,7.2,30,0,9,23.68,2,0
reggie-bonnafon,2018,CarolinaPanthers,--,--,--,--,--,--,--,--,--,--
victor-bolden,2018,BuffaloBills,6,1,10,10,10,0,1,100,0,0
brandon-bolden,2018,MiamiDolphins,16,3,13,4.3,9,1,1,33.33,0,0
tommy-bohanon,2018,JacksonvilleJaguars,16,6,41,6.8,12,0,1,16.67,0,0
c-j-board,2018,JacksonvilleJaguars,--,--,--,--,--,--,--,--,--,--
christian-blake,2018,AtlantaFalcons,--,--,--,--,--,--,--,--,--,--
justin-blackmon,2018,JacksonvilleJaguars,--,--,--,--,--,--,--,--,--,--
braxton-berrios,2018,NewEnglandPatriots,--,--,--,--,--,--,--,--,--,--
giovani-bernard,2018,CincinnatiBengals,12,35,218,6.2,26,0,8,22.86,2,0
travis-benjamin,2018,LosAngelesChargers,12,12,186,15.5,46,1,9,75,4,1
nick-lalonde-bellore,2018,DetroitLions,14,4,15,3.8,8,0,2,50,0,0
josh-bellamy,2018,ChicagoBears,16,14,117,8.4,20,1,8,57.14,1,0
le-veon-bell,2018,PittsburghSteelers,--,--,--,--,--,--,--,--,--,--
blake-bell,2018,JacksonvilleJaguars,10,8,67,8.4,16,0,3,37.5,0,0
chad-beebe,2018,MinnesotaVikings,3,4,39,9.8,18,0,3,75,0,0
odell-beckham,2018,NewYorkGiants,12,77,1052,13.7,51,6,51,66.23,17,3
cole-beasley,2018,DallasCowboys,16,65,672,10.3,32,3,39,60,3,0
nick-bawden,2018,DetroitLions,--,--,--,--,--,--,--,--,--,--
cameron-batson,2018,TennesseeTitans,11,8,82,10.3,26,0,5,62.5,1,0
kenjon-barner,2018,CarolinaPanthers,9,1,3,3,3,0,0,0,0,0
saquon-barkley,2018,NewYorkGiants,16,91,721,7.9,57,4,30,32.97,5,2
matt-barkley,2018,BuffaloBills,1,--,--,--,--,--,--,--,--,--
peyton-barber,2018,TampaBayBuccaneers,16,20,92,4.6,10,1,4,20,0,0
kalen-ballage,2018,MiamiDolphins,12,9,56,6.2,31,0,2,22.22,1,0
jerome-cunningham,2018,DetroitLions,3,0,0,0,--,0,0,0,0,0
sean-culkin,2018,LosAngelesChargers,13,1,24,24,24,0,1,100,1,0
dane-cruikshank,2018,TennesseeTitans,12,1,66,66,66,1,1,100,1,1
isaiah-crowell,2018,NewYorkJets,13,21,152,7.2,21,0,7,33.33,1,0
jamison-crowder,2018,WashingtonRedskins,9,29,388,13.4,79,2,15,51.72,4,1
jason-croom,2018,BuffaloBills,15,22,259,11.8,26,1,10,45.45,5,0
river-cracraft,2018,DenverBroncos,8,1,44,44,44,0,1,100,1,1
keke-coutee,2018,HoustonTexans,6,28,287,10.3,40,1,13,46.43,2,1
kirk-cousins,2018,MinnesotaVikings,16,1,-1,-1,-1,0,0,0,0,0
cody-core,2018,CincinnatiBengals,14,13,160,12.3,30,1,7,53.85,2,0
pharoh-cooper,2018,ArizonaCardinals,7,0,0,0,--,0,0,0,0,0
amari-cooper,2018,DallasCowboys,15,75,1005,13.4,90,7,53,70.67,10,3
brandin-cooks,2018,LosAngelesRams,16,80,1204,15.1,57,5,56,70,22,4
jared-cook,2018,OaklandRaiders,16,68,896,13.2,45,6,46,67.65,15,1
dalvin-cook,2018,MinnesotaVikings,11,40,305,7.6,27,2,15,37.5,5,0
james-conner,2018,PittsburghSteelers,13,55,497,9,29,1,20,36.36,5,0
chris-conley,2018,KansasCityChiefs,16,32,334,10.4,27,5,18,56.25,4,0
tyler-conklin,2018,MinnesotaVikings,16,5,77,15.4,33,0,3,60,2,0
alex-collins,2018,BaltimoreRavens,10,15,105,7,24,1,6,40,2,0
tevin-coleman,2018,AtlantaFalcons,16,32,276,8.6,39,5,15,46.88,3,0
corey-coleman,2018,NewYorkGiants,8,5,71,14.2,30,0,5,100,1,0
keelan-cole,2018,JacksonvilleJaguars,16,38,491,12.9,35,1,25,65.79,7,0
tarik-cohen,2018,ChicagoBears,16,71,725,10.2,70,5,29,40.85,9,3
randall-cobb,2018,GreenBayPackers,9,38,383,10.1,75,2,18,47.37,4,1
corey-clement,2018,PhiladelphiaEagles,11,22,192,8.7,23,0,10,45.45,3,0
charles-clay,2018,BuffaloBills,13,21,184,8.8,21,0,11,52.38,2,0
nick-chubb,2018,ClevelandBrowns,16,20,149,7.5,24,2,5,25,2,0
jehu-chesson,2018,WashingtonRedskins,12,1,7,7,7,0,1,100,0,0
d-j-chark,2018,JacksonvilleJaguars,11,14,174,12.4,38,0,6,42.86,2,0
garrett-celek,2018,SanFrancisco49ers,15,5,90,18,41,2,5,100,2,1
anthony-castonzo,2018,IndianapolisColts,11,--,--,--,--,--,--,--,--,--
deandre-carter,2018,HoustonTexans,14,22,216,9.8,50,0,10,45.45,2,1
cethan-carter,2018,CincinnatiBengals,--,--,--,--,--,--,--,--,--,--
tra-carson,2018,GreenBayPackers,6,--,--,--,--,--,--,--,--,--
chris-carson,2018,SeattleSeahawks,14,20,163,8.2,27,0,7,35,1,0
derek-carrier,2018,OaklandRaiders,16,7,67,9.6,23,1,3,42.86,1,0
derek-carr,2018,OaklandRaiders,16,1,-9,-9,-9,0,0,0,0,0
austin-carr,2018,NewOrleansSaints,14,9,97,10.8,25,2,5,55.56,1,0
trenton-cannon,2018,NewYorkJets,16,17,144,8.5,35,0,4,23.53,1,0
antonio-callaway,2018,ClevelandBrowns,16,43,586,13.6,71,5,27,62.79,8,3
deon-cain,2018,IndianapolisColts,--,--,--,--,--,--,--,--,--,--
jason-cabinda,2018,OaklandRaiders,10,--,--,--,--,--,--,--,--,--
ross-dwelley,2018,SanFrancisco49ers,11,2,14,7,8,0,0,0,0,0
quinton-dunbar,2018,WashingtonRedskins,7,--,--,--,--,--,--,--,--,--
jeff-driskel,2018,CincinnatiBengals,9,--,--,--,--,--,--,--,--,--
kenyan-drake,2018,MiamiDolphins,16,53,477,9,52,5,23,43.4,4,1
jack-doyle,2018,IndianapolisColts,6,26,245,9.4,20,2,14,53.85,1,0
phillip-dorsett,2018,NewEnglandPatriots,16,32,290,9.1,20,3,17,53.13,1,0
josh-doctson,2018,WashingtonRedskins,15,44,532,12.1,32,2,31,70.45,7,0
